City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cabo San Lucas,MX,77.5,few clouds,22.8909,-109.9124,Comfort Rooms
1,Lorengau,PG,77.47,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
2,Faanui,PF,81.0,broken clouds,-16.4833,-151.75,Oa Oa Lodge
3,Rikitea,PF,76.75,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
20,Mendoza,AR,87.33,clear sky,-32.8908,-68.8272,Hotel Eben-Ezer
26,Atuona,PF,77.65,clear sky,-9.8,-139.0333,Pearl Resort
35,Castro,BR,78.64,clear sky,-24.7911,-50.0119,Hotel Central Palace
42,Banda Aceh,ID,76.57,broken clouds,5.5577,95.3222,Hotel 61
48,Pisco,PE,75.25,clear sky,-13.7,-76.2167,La Portada
51,Natitingou,BJ,87.31,few clouds,10.3042,1.3796,CPNO
58,Salalah,OM,77.09,clear sky,17.0151,54.0924,Muscat International Hotel
59,Tres Arroyos,AR,89.35,clear sky,-38.3739,-60.2798,Andrea Hotel
68,Vao,NC,78.06,overcast clouds,-22.6667,167.4833,Nataiwatch
69,Mar Del Plata,AR,84.83,clear sky,-38.0023,-57.5575,Nuevo Ostende
71,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Page 63 hostel
72,Santa Marta,CO,86.05,few clouds,11.2408,-74.199,Casa Mita
74,Nabire,ID,75.45,overcast clouds,-3.3667,135.4833,Hotel Anggrek
88,Caravelas,BR,84.92,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
92,Tabou,CI,82.96,scattered clouds,4.423,-7.3528,hôtel le rochet
93,Hithadhoo,MV,80.69,scattered clouds,-0.6,73.0833,Pebbles Inn
95,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
97,Saint-Georges,GD,82.08,light intensity shower rain,12.0564,-61.7485,Deyna's City Inn
100,Tual,ID,83.66,light rain,-5.6667,132.75,Suita
102,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
105,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Grand Bel Air
109,Dakar,SN,79.68,light rain,14.6937,-17.4441,翁记小吃
122,Kavieng,PG,79.88,moderate rain,-2.5744,150.7967,Kavieng Hotel
131,Avarua,CK,77.05,shower rain,-21.2078,-159.775,Paradise Inn
133,Soyo,AO,80.89,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
134,Daru,PG,76.64,overcast clouds,-9.0763,143.2092,Kuki
135,Miranda,CO,80.73,broken clouds,3.2499,-76.2281,Encantos
143,Nacala,MZ,78.49,few clouds,-14.5428,40.6728,Indico Apart Hotel 2
145,Bintulu,MY,75.61,few clouds,3.1667,113.0333,Bakun Inn
161,Monrovia,LR,81.84,broken clouds,6.3005,-10.7969,Bella Casa Hotel
166,Linhares,BR,88.07,broken clouds,-19.3911,-40.0722,Days Inn Linhares
168,Touros,BR,84.85,few clouds,-5.1989,-35.4608,Pousada Atlântico
173,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,The Adventures Inn
176,Isangel,VU,80.42,heavy intensity rain,-19.55,169.2667,Tanna Lodge
184,Port Blair,IN,75.24,mist,11.6667,92.75,Andaman Ocean Breeze
186,Axim,GH,81.5,broken clouds,4.8699,-2.2405,Axim Beach Hotel
188,Namatanai,PG,78.21,light rain,-3.6667,152.4333,Namatanai Hotel
196,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
198,Altamira,BR,84.29,broken clouds,-3.2033,-52.2064,Hotel Vale do Xingu
213,Rocha,UY,75.43,clear sky,-34.4833,-54.3333,Hotel Municipal
215,Bubaque,GW,77.74,overcast clouds,11.2833,-15.8333,Chez Julio
216,Nouadhibou,MR,75.18,scattered clouds,20.931,-17.0347,Hotel valencia
218,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Hotel Prainha
227,Pemangkat,ID,78.35,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
228,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Tropic Hotel
235,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Central Hôtel
252,Yulara,AU,77.11,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
265,Takoradi,GH,81.27,broken clouds,4.8845,-1.7554,Hillcrest
273,Hambantota,LK,75.31,clear sky,6.1241,81.1185,Oasis Aurweda Resort Hambathota
274,Santiago Del Estero,AR,85.35,broken clouds,-27.7951,-64.2615,Nuevo Hotel Brístol
275,Lucea,JM,83.86,clear sky,18.451,-78.1736,Blue Paloma Bed And Breakfast
279,Sechura,PE,82.11,few clouds,-5.5569,-80.8222,Hospedaje Claritza
282,Cockburn Town,TC,78.96,clear sky,21.4612,-71.1419,The Salt Raker Inn
283,Santa Cruz Cabralia,BR,84.43,scattered clouds,-16.2781,-39.0247,Campo Bahia Resort
288,Ghanzi,BW,88.25,overcast clouds,-21.5667,21.7833,Ghanzi farmhouse
291,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le Baril
292,Mana,GF,80.2,overcast clouds,5.6592,-53.7767,Le Samana
301,Bathsheba,BB,83.01,light rain,13.2167,-59.5167,Atlantis Hotel
305,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Marry's Motel
309,Cap Malheureux,MU,77.47,scattered clouds,-19.9842,57.6142,Cape Garden
312,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
321,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Coco Villa
325,Maragogi,BR,80.92,broken clouds,-9.0122,-35.2225,Pousada Mariluz
326,Itarema,BR,86.31,few clouds,-2.9248,-39.9167,Pousada Oásis
345,Lira,UG,77.02,overcast clouds,2.235,32.9097,Pauline Hotel
349,Owando,CG,77.99,overcast clouds,-0.4819,15.8999,Hotel de l'Eglise
354,Anloga,GH,81.48,broken clouds,5.7947,0.8973,Hotel de White House
384,Kisangani,CD,78.21,overcast clouds,0.5167,25.2,Le Chalet
385,Karratha,AU,88.86,broken clouds,-20.7377,116.8463,Karratha International Hotel
387,El Tigre,VE,87.69,few clouds,8.8875,-64.2454,Hotel La Llovizna
398,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,Ibis Styles
405,Banjar,ID,75.78,overcast clouds,-8.19,114.9675,Villa Banjar Beach
407,Koumac,NC,77.72,overcast clouds,-20.5667,164.2833,Monitel Koumac
412,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Hotel California
418,Nicoya,CR,86.63,broken clouds,10.1483,-85.452,Hotel marianela
420,Trincomalee,LK,78.55,broken clouds,8.5711,81.2335,Silver Star Inn
421,Cidreira,BR,75.13,few clouds,-30.1811,-50.2056,Hotel Castelo
427,Valera,VE,80.19,broken clouds,9.3178,-70.6036,Valera
435,Sao Joao Da Barra,BR,87.89,broken clouds,-21.6403,-41.0511,Pousada Mediterrâneo
444,Paita,PE,76.68,broken clouds,-5.0892,-81.1144,Victor's
445,La Plata,AR,87.04,few clouds,-34.9215,-57.9545,Hotel Catedral
448,Progreso,MX,83.1,broken clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
453,Robertsport,LR,82.09,scattered clouds,6.7533,-11.3686,Nana's Lodge
457,Sorong,ID,80.15,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
475,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,Hotel del Valle
484,Pangai,TO,79.0,moderate rain,-19.8,-174.35,Billy's Place
487,Port Hedland,AU,87.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
494,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Hotel Barlovento
499,Boffa,GN,80.51,overcast clouds,10.1667,-14.0333,Cité Bagataye
503,Omboue,GA,78.76,light rain,-1.5746,9.2618,Georges Faustin Aurat
504,Inhambane,MZ,80.58,few clouds,-23.865,35.3833,Hotel de Inhambane
511,Soto La Marina,MX,81.43,clear sky,23.7667,-98.2167,Arellano
517,San Ignacio,BZ,82.54,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
519,Tomatlan,MX,87.28,clear sky,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
520,Alta Floresta,BR,79.99,overcast clouds,-9.8756,-56.0861,Villas Hotel
525,San Luis,AR,85.96,clear sky,-33.295,-66.3356,Hotel Dos Venados
543,Capinzal,BR,85.32,clear sky,-27.3436,-51.6119,Hotel Antares
547,Larap,PH,76.51,broken clouds,14.299,122.6504,Hotel Bienvinido
562,Puerto Baquerizo Moreno,EC,77.99,broken clouds,-0.9,-89.6,Dory's House
564,Pitimbu,BR,88.39,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
573,Cairns,AU,75.15,light rain,-16.9167,145.7667,Cairns Queens Court Accommodation
577,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
580,Diamantina,BR,75.94,broken clouds,-18.2494,-43.6003,Pousada do Garimpo
583,Lockhart,US,78.1,clear sky,28.6194,-81.4426,Geneva Motel
592,Bucerias,MX,81.99,few clouds,20.75,-105.3333,Royal Decameron Complex
596,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Fidji Motel
609,Pimenta Bueno,BR,77.47,heavy intensity rain,-11.6725,-61.1936,Cristalina palace hotel
611,Dickinson,US,80.02,broken clouds,29.4608,-95.0513,Days Inn by Wyndham Dickinson TX
613,Gambela,ET,82.83,broken clouds,8.25,34.5833,Grand Hotel
620,Kanniyakumari,IN,78.28,broken clouds,8.0833,77.5667,The Seashore Hotel
621,Champerico,GT,88.34,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
622,Nova Olimpia,BR,75.69,moderate rain,-14.7972,-57.2881,Olímpia Hotel
632,Nieuw Amsterdam,SR,86.16,scattered clouds,5.8833,-55.0833,Leonsberg Lodge
633,Kousseri,CM,76.96,scattered clouds,12.0769,15.0306,Hôtel le CONFORT FREDI
667,Wau,SS,78.24,scattered clouds,7.7029,27.9953,Safari Park Hotel
671,Sokoni,TZ,82.26,broken clouds,-6.4333,39.55,La Madrugada Beach Hotel
676,Gizo,SB,81.19,overcast clouds,-8.103,156.8419,Gizo Hotel
678,Santa Rosa,PH,76.98,overcast clouds,14.3122,121.1114,JARS RESORT
683,Viedma,AR,85.69,clear sky,-40.8135,-62.9967,Níjar
697,Jalpan,MX,81.97,clear sky,21.2333,-99.4833,Posada Karina
698,Businga,CD,76.15,overcast clouds,3.3333,20.8833,Hôtel Roho
703,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,Divers Lodge Lembeh
