,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cabo San Lucas,MX,22.8909,-109.9124,77.5,44,20,0.0,few clouds
1,Lorengau,PG,-2.0226,147.2712,77.47,87,100,8.1,overcast clouds
2,Faanui,PF,-16.4833,-151.75,81.0,73,74,15.05,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,76.75,73,57,2.95,light rain
4,Tiksi,RU,71.6872,128.8694,-12.28,98,100,9.26,overcast clouds
5,Shingu,JP,33.7333,135.9833,39.79,76,6,6.78,clear sky
6,Saskylakh,RU,71.9167,114.0833,-7.87,90,100,17.25,overcast clouds
7,Klaksvik,FO,62.2266,-6.589,34.72,58,54,19.35,broken clouds
8,Victoria,HK,22.2855,114.1577,60.33,70,24,8.99,few clouds
9,Thompson,CA,55.7435,-97.8558,3.36,78,100,8.05,light snow
10,Upernavik,GL,72.7868,-56.1549,1.54,92,100,12.3,light snow
11,Barrow,US,71.2906,-156.7887,-5.78,77,100,19.57,haze
12,Dali,CN,25.7,100.1833,38.91,81,5,3.09,clear sky
13,Ribeira Grande,PT,38.5167,-28.7,63.77,88,75,26.46,broken clouds
14,Ushuaia,AR,-54.8,-68.3,44.26,87,75,17.27,moderate rain
15,Hobart,AU,-42.8794,147.3294,49.86,87,40,0.0,scattered clouds
16,Camacha,PT,33.0833,-16.3333,63.82,77,20,2.3,few clouds
17,Aklavik,CA,68.2191,-135.0107,-9.4,77,100,5.75,overcast clouds
18,Airai,TL,-8.9266,125.4092,60.6,96,100,3.71,light rain
19,Pangnirtung,CA,66.1451,-65.7125,-2.2,92,100,3.44,light snow
20,Mendoza,AR,-32.8908,-68.8272,87.33,22,0,8.05,clear sky
21,Busselton,AU,-33.65,115.3333,59.83,83,0,12.71,clear sky
22,Manbij,SY,36.5281,37.9549,48.0,57,5,5.59,clear sky
23,Shenzhen,CN,22.5455,114.0683,60.22,79,20,8.16,few clouds
24,Rawson,AR,-43.3002,-65.1023,71.37,43,53,13.69,broken clouds
25,Alofi,NU,-19.0595,-169.9187,78.69,89,97,4.61,light rain
26,Atuona,PF,-9.8,-139.0333,77.65,75,7,13.8,clear sky
27,Fort Nelson,CA,58.8053,-122.7002,-2.61,78,40,0.0,scattered clouds
28,Jos,NG,9.9167,8.9,68.95,20,3,8.48,clear sky
29,De Aar,ZA,-30.6497,24.0123,71.4,35,0,22.39,clear sky
30,New Norfolk,AU,-42.7826,147.0587,49.5,97,0,1.97,clear sky
31,Butaritari,KI,3.0707,172.7902,80.56,75,46,12.12,scattered clouds
32,Jamestown,US,42.097,-79.2353,47.79,65,100,14.97,overcast clouds
33,Kudahuvadhoo,MV,2.6708,72.8944,80.89,73,41,8.75,scattered clouds
34,Te Anau,NZ,-45.4167,167.7167,49.5,94,98,3.76,overcast clouds
35,Castro,BR,-24.7911,-50.0119,78.64,48,5,7.72,clear sky
36,Basco,PH,20.4487,121.9702,72.48,81,100,23.8,overcast clouds
37,Lavrentiya,RU,65.5833,-171.0,-9.69,87,61,8.48,broken clouds
38,Bluff,NZ,-46.6,168.3333,52.97,69,32,11.61,scattered clouds
39,Visnes,NO,59.3556,5.2242,44.65,81,75,21.85,light rain
40,Vanavara,RU,60.34,102.2797,-14.39,93,100,6.46,overcast clouds
41,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.6,68,58,8.14,broken clouds
42,Banda Aceh,ID,5.5577,95.3222,76.57,82,63,7.61,broken clouds
43,Buraydah,SA,26.326,43.975,54.05,37,0,8.86,clear sky
44,Le Port,RE,-20.9373,55.2919,78.8,77,67,1.5,broken clouds
45,Coahuayana,MX,18.7333,-103.6833,84.67,33,24,3.18,few clouds
46,Kruisfontein,ZA,-34.0033,24.7314,63.88,60,100,15.28,overcast clouds
47,Bredasdorp,ZA,-34.5322,20.0403,63.59,46,12,13.47,few clouds
48,Pisco,PE,-13.7,-76.2167,75.25,64,0,6.91,clear sky
49,Tasiilaq,GL,65.6145,-37.6368,6.96,56,50,3.6,scattered clouds
50,Punta Arenas,CL,-53.15,-70.9167,53.71,54,40,25.32,scattered clouds
51,Natitingou,BJ,10.3042,1.3796,87.31,13,15,6.87,few clouds
52,Hilo,US,19.7297,-155.09,71.26,82,100,5.01,overcast clouds
53,Mataura,NZ,-46.1927,168.8643,47.77,98,86,2.53,overcast clouds
54,Ucluelet,CA,48.9329,-125.5528,43.11,91,100,1.01,light rain
55,Kaitangata,NZ,-46.2817,169.8464,49.84,94,96,6.24,overcast clouds
56,Manzil Salim,TN,35.8567,8.4765,54.57,35,99,1.74,overcast clouds
57,Leningradskiy,RU,69.3833,178.4167,-19.77,94,100,9.04,overcast clouds
58,Salalah,OM,17.0151,54.0924,77.09,27,0,11.5,clear sky
59,Tres Arroyos,AR,-38.3739,-60.2798,89.35,15,3,12.12,clear sky
60,Andenes,NO,69.3143,16.1194,35.58,44,75,31.07,broken clouds
61,Chuy,UY,-33.6971,-53.4616,74.25,37,8,15.7,clear sky
62,Colares,PT,38.7992,-9.4469,63.34,92,20,11.5,few clouds
63,Komsomolsk,UA,49.0097,33.6455,38.19,79,100,11.79,overcast clouds
64,Alto Paraguai,BR,-14.5136,-56.4825,79.86,76,99,5.06,overcast clouds
65,Albany,US,42.6001,-73.9662,45.63,57,97,4.27,overcast clouds
66,Hermanus,ZA,-34.4187,19.2345,64.8,55,2,17.4,clear sky
67,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,100,9.22,light snow
68,Vao,NC,-22.6667,167.4833,78.06,89,96,18.72,overcast clouds
